Id,Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
17,Account Manager,3 - 7 yrs,Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
18,Magento Developer,2 - 7 yrs,Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,Washington DC,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer
19,Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs,C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20,Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,3 - 7 yrs,sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,Washington DC,"Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer
21,Business Development / Corporate Sales,0 - 4 yrs,lead generation| business development| corporate sales,Retail Sales,Washington DC,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
22,Business Development Manager (BDM),2 - 5 yrs,contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,Washington DC,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
23,QA Executive,2 - 5 yrs,QA Executive,QA/Testing/Documentation,Washington DC,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive
24,Back End Java Developer - Restful Services/soap,6 - 8 yrs,Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,Washington DC,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
25,Product Engineer,4 - 9 yrs,Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
26,Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs,Articulate Storyline,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer
27,Urgent Hiring for Area Sales Manager,7 - 12 yrs,Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,Washington DC,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager
28,Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs,C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
29,Linux Administrator Lead,5 - 10 yrs,qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,Washington DC,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator
30,Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs,Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
32,US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs,Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
33,Strong Partner Ecosystem,2 - 7 yrs,GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
35,Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs,Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Washington DC,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive
36,Accounts Manager,2 - 3 yrs,filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant
37,Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs,Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
38,nutanix sme,15 - 20 yrs,Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting|Python| VMS| Open source| Archiving,Technical Support,Washington DC,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager
39,System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs,4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,Washington DC,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
40,"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",2 - 7 Years,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
42,Regional Representative,0 - 3 yrs,market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,Washington DC,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
43,Hiring For Record To Report,1 - 4 yrs,fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
44,Product & Regional Sales Manager,3 - 6 yrs,Team management| Regional sales| Management,Retail Sales,Washington DC,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager
45,Senior Manager/associate Director - Mandarin,10 - 15 yrs,Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,Washington DC,"Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales
46,ODI Developer/lead ODI Developer - RACI,5 - 10 yrs,ODI| Matrix,Programming & Design,Washington DC,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
47,UI Developer,2 - 4 yrs,javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
48,Assistant Manager,5 - 8 yrs,Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
49,Android Developer,2 - 5 yrs,android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
50,International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 yrs,cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
51,iOS Developer,2 - 5 yrs,bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,Washington DC,IT Software - Mobile,"IT-Software, Software Services",Software Developer
52,F&A Black belt - Process Excellence Lead,8 - 13 yrs,Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical)
54,Digital Content Producer For largest Media House,3 - 8 yrs,Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,Washington DC,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
55,Manager Holidays,6 - 10 yrs,Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,Washington DC,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager
56,Backend Developer,1 - 5 yrs,PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
60,Oracle DBA Consultant - Data Guard/rac Modules,2 - 5 yrs,WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,Washington DC,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
61,Global HR Operations Analyst,1 - 4 yrs,Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive
63,Compiler- Support Engineer,5 - 10 yrs,Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
65,Head Sales- Coworking Company,7 - 12 yrs,Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,Washington DC,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales
66,"Clubhouse Manager, Facility Manager,",2 - 5 yrs,Facility Management| facility services,Health & Fitness,Washington DC,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager
67,IP DRG / Surgery / ED / Denials Coders,1 - 5 yrs,sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
68,Sales Manager - Education Sales,5 - 7 yrs,Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,Washington DC,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
69,HR Associate,0 - 2 yrs,ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Washington DC,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive
70,Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 yrs,revenue generation| marketing| ad sales| web technologies,Corporate Sales,Washington DC,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
71,Architect Junior/ Middle level,1 - 2 yrs,co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,Washington DC,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect
72,php developer,3 - 4 yrs,English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,Washington DC,IT Software - Other,"Recruitment, Staffing",Software Developer
73,Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 yrs,cloud| puppet|Python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
74,Sr. Software Engineer,4 - 8 yrs,National| Branch| Vice President| J2Ee| Software,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer
75,Software Engineering- Mentor,1 - 5 yrs,Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,Washington DC,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
76,Application Tester,3 - 8 yrs,Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
78,Night Shift - Non Voice / Web Chat - BPO,0 - 5 yrs,international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,Washington DC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
79,Sales Executive,2 - 4 yrs,Innovative| Aggressive,Front Office/Customer Care,Washington DC,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
80,Design Engineer Mechanical,7 - 12 yrs,Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,Washington DC,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer
81,Android developer,1 - 3 yrs,design| android| erp| software| mvc| quality,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
82,Technical Writer,4 - 7 yrs,Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,Washington DC,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer
83,"Pro-Engineer , Matlab ,Ansys",3 - 7 yrs,Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,Washington DC,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
84,Business Development Executive - Kolkata,2 - 6 yrs,Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,Washington DC,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager
85,Accountant - UK Based Accounting,1 - 6 yrs,Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
86,Opportunity For Current Account RM ||bank || Ohio,2 - 7 yrs,Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,Washington DC,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
87,PHP Developer,1 - 5 yrs,XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,Washington DC,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
88,Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 yrs,zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,Washington DC,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager
89,Accounting Specialist,0 - 3 yrs,Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,Washington DC,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
90,Manager (Service Operation),8 - 12 yrs,ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Los Angeles,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager
91,DevOps Engineer Intern,0 - 1 yrs,Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,Los Angeles,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
92,PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 yrs,C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,Los Angeles,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
93,Java Developer,1 - 2 yrs,CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,Los Angeles,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
94,Sr. Manager- Business Development,15 - 22 yrs,Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Corporate Sales,Los Angeles,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
95,Test Principal Engineer,8 - 10 yrs,Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,Los Angeles,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
96,Graphic Designer,2 - 7 yrs,Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,Los Angeles,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer
97,Business Development Executive,1 - 3 yrs,Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,Los Angeles,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
98,Animation Resident,2 - 6 yrs,Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,Los Angeles,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive
99,Enterprise Business Development Representative,1 - 3 Years,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,Los Angeles,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer
100,Dot Net Developer,2 - 5 yrs,jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,Los Angeles,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
101,"Urgent Opening for ""US Staffing Professionals"" - New York",1 - 5 yrs,technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,Los Angeles,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
103,Project Executive/coordinator,2 - 4 yrs,Project Administration| Coordination,Sales Support,Los Angeles,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator
104,Sterling OMS Architect,5 - 10 yrs,Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,Los Angeles,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect
105,Dot net Developer,3 - 5 yrs,analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,Los Angeles,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
106,Centreless Grinding Operator,4 - 8 yrs,NCTVT,Production/Manufacturing/Maintenance,Los Angeles,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician
107,PHP Developer Jobs In Florida - Team Lead - PHP,8 - 13 yrs,Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,Los Angeles,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
108,Sales Lead,3 - 7 yrs,Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,Los Angeles,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
110,Senior Design Engineer - Manufacturing,6 - 8 yrs,AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,Los Angeles,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager
111,Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 yrs,Automation Engineer,Engineering Design,Los Angeles,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead
112,Looking For Assistant Manager - Healthcare (US Visa is Must),5 - 10 yrs,Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,Los Angeles,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical)
114,QA for Voice Process (LE-0097-N1C),2 - 6 yrs,Voice process| qaqc| Writing| Process operations| Verbal,Quality,Los Angeles,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive
117,Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 yrs,Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL|Python,Analytics & BI,Los Angeles,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager
118,Executive Medical Coder,0 - 0 yrs,molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,Los Angeles,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee
119,Account Assistant,3 - 5 yrs,accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,Los Angeles,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
120,Informatica Faculty Job Requirement in Hyderabad,1 - 6 yrs,Informatica Power Center| Informatica,Programming & Design,Los Angeles,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
121,SEO Expert/ Digital Marketing Florida,2 - 4 yrs,digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,Los Angeles,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist
122,Head Engineering,5 - 10 yrs,Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,Los Angeles,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager
123,Business Development Executive,5 - 10 yrs,Forecasting,Finance/Audit,Los Angeles,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst
124,PPC Executive,3 - 7 yrs,Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,Los Angeles,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist
125,Opening For the post of Mr/territory Business Manager in An Pharma,0 - 2 yrs,marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,Los Angeles,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative
126,Deputy Manager - Program Management,2 - 6 yrs,Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,Los Angeles,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance
127,Public Relations Manager - Bangalore,6 - 11 yrs,PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,Los Angeles,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager
128,Female Fresher's Counsellor- Florida,0 - 1 yrs,counselling| couselling| fresher| student counsellor| student counseling,Other,Los Angeles,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher
129,BE Chemical - Fresher,0 - 2 yrs,Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,Los Angeles,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher
